N,Norme,iterations,durree
1,1.0,2,0.00016570091247558594
2,1.2675918792439973,6,0.02661919593811035
3,1.4083189271234524,6,0.00020503997802734375
4,1.500214280059226,7,0.0002028942108154297
5,1.5670506910975692,6,0.0001857280731201172
6,1.6188998589229033,7,0.00018548965454101562
7,1.6608853389268146,8,0.00021839141845703125
8,1.695938996920118,8,0.0002181529998779297
9,1.7258826609004503,8,0.00022220611572265625
10,1.7519196702638251,8,0.0008955001831054688
11,1.7748831794991635,9,0.00024700164794921875
12,1.7953720595616969,8,0.00021910667419433594
13,1.8138301187957158,9,0.00022912025451660156
14,1.8305946959191612,9,0.00024056434631347656
15,1.8459277461510022,9,0.00023245811462402344
16,1.8600364427377638,9,0.00025773048400878906
17,1.8730872473375269,9,0.00024080276489257812
18,1.8852157725972072,9,0.0002446174621582031
19,1.8965338536691592,10,0.0002760887145996094
20,1.9071347204004612,9,0.00027489662170410156
21,1.9170968478729267,10,0.00030922889709472656
22,1.9264868683642153,10,0.00031447410583496094
23,1.9353618051442592,10,0.0003108978271484375
24,1.9437708079005094,10,0.0002930164337158203
25,1.951756516863017,10,0.00031113624572753906
26,1.9593561464213116,10,0.00031375885009765625
27,1.9666023542832511,10,0.0003066062927246094
28,1.9735239449783617,11,0.00031304359436035156
29,1.9801464437549345,10,0.00027441978454589844
30,1.9864925686006119,10,0.00031495094299316406
31,1.9925826209714113,11,0.00034332275390625
32,1.9984348114786843,11,0.00034427642822265625
33,2.004065533057307,11,0.00037741661071777344
34,2.009489591314461,11,0.0003457069396972656
35,2.014720399850809,11,0.00040721893310546875
36,2.019770146742168,11,0.0003476142883300781
37,2.0246499370844,11,0.00031638145446777344
38,2.029369915588889,11,0.0002918243408203125
39,2.033939372474979,11,0.00032329559326171875
40,2.038366835311205,11,0.0002906322479248047
41,2.042660148942445,11,0.0002846717834472656
42,2.0468265453457404,11,0.0003101825714111328
43,2.0508727047950566,11,0.0004222393035888672
44,2.054804809739453,11,0.0003840923309326172
45,2.058628592270745,12,0.00035858154296875
46,2.062349376103273,11,0.000362396240234375
47,2.065972113919624,12,0.0003921985626220703
48,2.0695014204295585,12,0.0003948211669921875
49,2.0729416020143185,12,0.00039649009704589844
50,2.0762966831281964,12,0.00039267539978027344
51,2.079570429998303,12,0.00039887428283691406
52,2.082766371890805,12,0.00044608116149902344
53,2.0858878202682867,11,0.0003790855407714844
54,2.0889378860969474,12,0.00039386749267578125
55,2.091919495369403,12,0.0004134178161621094
56,2.0948354033368277,12,0.0004169940948486328
57,2.0976882072815415,12,0.00041961669921875
58,2.1004803581785367,12,0.00035858154296875
59,2.103214171326086,12,0.00035762786865234375
60,2.105891835972806,12,0.0003542900085449219
61,2.1085154242111703,12,0.00033664703369140625
62,2.1110868990205858,12,0.0003578662872314453
63,2.113608121674474,12,0.0003616809844970703
64,2.1160808585612,12,0.0004036426544189453
65,2.118506787390305,12,0.0003685951232910156
66,2.1208875029465624,12,0.0007646083831787109
67,2.123224522385465,12,0.0004711151123046875
68,2.125519290112651,12,0.0004932880401611328
69,2.1277731822729153,13,0.0007150173187255859
70,2.129987510897577,12,0.00037598609924316406
71,2.132163527829186,12,0.00036787986755371094
72,2.1343024282342506,13,0.0004162788391113281
73,2.136405353890842,12,0.0003762245178222656
74,2.138473396370893,13,0.0003867149353027344
75,2.140507599782264,13,0.000400543212890625
76,2.142508963510685,13,0.00045371055603027344
77,2.144478444671206,13,0.0004374980926513672
78,2.146416960416648,13,0.0004000663757324219
79,2.1483253901072645,13,0.0004203319549560547
80,2.150204577314309,13,0.0004093647003173828
81,2.152055331720572,13,0.000396728515625
82,2.153878430857154,13,0.0004146099090576172
83,2.155674621785366,13,0.00043511390686035156
84,2.1574446226203463,13,0.0004951953887939453
85,2.159189123992184,13,0.0004398822784423828
86,2.160908790412719,13,0.0004551410675048828
87,2.162604261539785,13,0.0004429817199707031
88,2.1642761533991326,13,0.0004057884216308594
89,2.1659250595128867,13,0.0004181861877441406
90,2.167551551939406,13,0.0004401206970214844
91,2.1691561823206835,13,0.00040793418884277344
92,2.1707394827950592,13,0.00047016143798828125
93,2.1723019669015837,13,0.0005404949188232422
94,2.1738441304293996,13,0.0005254745483398438
95,2.1753664522010405,13,0.0005323886871337891
96,2.1768693948254203,13,0.0005481243133544922
97,2.178353405428556,13,0.0005342960357666016
98,2.179818916313273,13,0.0005273818969726562
99,2.1812663455697963,13,0.0005273818969726562
100,2.1826960977497305,13,0.0005924701690673828
101,2.1841085643522504,13,0.0006062984466552734
102,2.18550412444879,13,0.0005691051483154297
103,2.186883145123433,13,0.0005478858947753906
104,2.1882459820250286,13,0.0005342960357666016
105,2.1895929797969336,13,0.05057048797607422
106,2.190924472528277,13,0.0005800724029541016
107,2.1922407841557527,13,0.0006062984466552734
108,2.193542228919016,14,0.005756378173828125
109,2.1948291116305043,13,0.0005953311920166016
110,2.1961017281910893,13,0.0007328987121582031
111,2.1973603658009035,13,0.0006403923034667969
112,2.198605303344917,13,0.0010688304901123047
113,2.1998368117118146,13,0.0005831718444824219
114,2.20105515407679,14,0.00063323974609375
115,2.202260586166834,14,0.0006477832794189453
116,2.2034533565900234,14,0.0006365776062011719
117,2.2046337070463533,14,0.0006389617919921875
118,2.20580187259691,14,0.0008571147918701172
119,2.206958081889088,14,0.0013020038604736328
120,2.2081025574020208,14,0.000850677490234375
121,2.209235515634683,14,0.0008554458618164062
122,2.210357167355467,14,0.0011420249938964844
123,2.211467717751526,14,0.0007047653198242188
124,2.212567366662889,14,0.0006792545318603516
125,2.2136563087358896,14,0.0007853507995605469
126,2.214734733615844,14,0.0006697177886962891
127,2.2158028261042735,14,0.0006363391876220703
128,2.2168607663207855,14,0.0007786750793457031
129,2.2179087298630646,14,0.0004215240478515625
130,2.2189468879509384,14,0.0004315376281738281
131,2.219975407565502,14,0.00048232078552246094
132,2.2209944515860816,14,0.0004227161407470703
133,2.2220041789341565,14,0.0004165172576904297
134,2.223004744672723,14,0.0004825592041015625
135,2.2239963001636625,14,0.00042724609375
136,2.2249789931407475,14,0.0004189014434814453
137,2.2259529678548002,14,0.0006351470947265625
138,2.2269183651847606,14,0.0004405975341796875
139,2.2278753226948096,14,0.00043201446533203125
140,2.228823974792103,14,0.0004303455352783203
141,2.2297644527865224,14,0.0013992786407470703
142,2.230696884997262,14,0.0008003711700439453
143,2.231621396828098,14,0.000881195068359375
144,2.232538110873164,14,0.0009140968322753906
145,2.2334471469831065,14,0.0007517337799072266
146,2.234348622352033,14,0.0008013248443603516
147,2.2352426515962485,14,0.0008401870727539062
148,2.236129346809941,14,0.0012888908386230469
149,2.237008817678559,14,0.000732421875
150,2.237881171499115,14,0.0010962486267089844
151,2.2387465132646236,14,0.0015385150909423828
152,2.2396049457468865,14,0.0009357929229736328
153,2.2404565695395444,14,0.0009591579437255859
154,2.2413014831197704,14,0.0008649826049804688
155,2.242139782898271,14,0.0009424686431884766
156,2.242971563318426,14,0.001138925552368164
157,2.243796916830194,14,0.0008502006530761719
158,2.244615934028708,14,0.0008919239044189453
159,2.245428703653807,14,0.0009412765502929688
160,2.246235312632002,14,0.0009920597076416016
161,2.2470358461650672,14,0.0009546279907226562
162,2.247830387758432,14,0.0009546279907226562
163,2.2486190192255666,14,0.0009009838104248047
164,2.249401820808581,14,0.0008749961853027344
165,2.2501788711590165,15,0.0008716583251953125
166,2.2509502473701835,15,0.00090789794921875
167,2.251716025061498,14,0.0008027553558349609
168,2.2524762784315615,14,0.0008769035339355469
169,2.2532310802057345,14,0.0009715557098388672
170,2.2539805017523444,14,0.0011382102966308594
171,2.2547246130850853,14,0.0009031295776367188
172,2.2554634828997493,14,0.0009620189666748047
173,2.2561971786166355,15,0.0011110305786132812
174,2.2569257663646582,14,0.0009160041809082031
175,2.2576493111154905,14,0.0008654594421386719
176,2.258367876606183,15,0.0008933544158935547
177,2.2590815254016983,15,0.0009677410125732422
178,2.259790318952396,15,0.0009899139404296875
179,2.2604943175939187,15,0.0010056495666503906
180,2.261193580556711,14,0.001039266586303711
181,2.2618881660785117,15,0.0010416507720947266
182,2.262578131270088,15,0.0010313987731933594
183,2.263263532298337,15,0.0009026527404785156
184,2.2639444243194093,15,0.0006091594696044922
185,2.2646208615317622,15,0.0009150505065917969
186,2.265292897193279,15,0.0011343955993652344
187,2.26596058363815,15,0.0011479854583740234
188,2.266623972300466,15,0.0009653568267822266
189,2.2672831137223977,14,0.000990152359008789
190,2.267938057643042,15,0.0010750293731689453
191,2.2685888528743687,15,0.0010213851928710938
192,2.2692355474597363,15,0.0010218620300292969
193,2.269878188632198,15,0.0010614395141601562
194,2.2705168228315693,15,0.0011172294616699219
195,2.2711514957300976,15,0.0011143684387207031
196,2.2717822522458446,15,0.0012848377227783203
197,2.272409136564699,15,0.0010137557983398438
198,2.2730321921471055,15,0.0011034011840820312
199,2.273651461741229,15,0.0011856555938720703
200,2.274266987426496,15,0.001111745834350586
201,2.2748788105776985,15,0.0011146068572998047
202,2.275486971935175,15,0.0012531280517578125
203,2.276091511567699,15,0.0011179447174072266
204,2.276692468922511,15,0.0010895729064941406
205,2.2772898828247974,15,0.0011959075927734375
206,2.277883791487363,15,0.0012292861938476562
207,2.2784742325272487,15,0.0012276172637939453
208,2.2790612429828423,15,0.0010709762573242188
209,2.279644859308664,15,0.0014147758483886719
210,2.280225117410131,15,0.0011675357818603516
211,2.28080205263497,15,0.0011131763458251953
212,2.281375699799857,15,0.001051187515258789
213,2.2819460931876683,15,0.0010585784912109375
214,2.2825132665624994,15,0.0010724067687988281
215,2.2830772531904016,15,0.0011146068572998047
216,2.28363808583165,15,0.0016236305236816406
217,2.284195796763928,15,0.0008392333984375
218,2.2847504177805233,15,0.0012402534484863281
219,2.2853019802167687,15,0.0011968612670898438
220,2.285850514936513,15,0.0008718967437744141
221,2.286396052360409,15,0.0007143020629882812
222,2.286938622460058,15,0.0007627010345458984
223,2.2874782547838812,15,0.0012698173522949219
