N,ratio
0,0.00010442733764648438
10,0.012418849767051095
20,0.21992669110296567
30,0.24162257495590828
40,0.3244816296835213
50,0.2877939529675252
60,0.28440366972477066
70,0.2846023688663283
80,0.15766208251473476
90,0.26453175457481165
100,0.3466829715683277
110,0.34450538289660776
120,0.3713763980826295
130,0.797686230248307
140,0.6944983818770226
150,0.5483799378606302
160,0.2898470863755338
170,0.5337853635725976
180,0.6423611111111112
190,0.7591082109842305
200,0.8
210,0.572635814889336
220,0.342725843511912
230,0.34569024334773707
240,0.44900168390666345
250,0.39753933037515127
260,0.4512674825174825
270,1.1217853347502658
280,0.9235910002227667
290,1.0621490803484994
300,0.4397885994714987
310,0.5072604065827686
320,1.7013473053892216
330,2.1843238587424634
340,1.3562466866937621
350,0.8472451336192676
360,1.0466364011555922
370,2.084379975234389
380,0.5030530355896721
390,0.5746815901196449
400,1.0554780181437544
410,1.0636866497234265
420,1.363651619399228
430,1.3325710552107155
440,1.2603891820580475
450,1.4481441881777914
460,0.8149230250589954
470,1.0336272040302268
480,1.197118918124357
490,1.2362553662927573
500,1.2517369727047147
510,1.2446795270690727
520,1.5149271274094969
530,1.4699071282113134
540,1.3170479246454818
550,1.8692970204841712
560,2.017447712783805
570,1.6029926156237855
580,1.488864701942398
590,2.4521997401150917
600,2.904781704781705
610,2.1631476368361215
620,2.8282415770046336
630,1.3141551441293648
640,1.20158863882537
650,1.8448604060913705
660,1.6510768845479589
670,1.3377265960241702
680,1.895890410958904
690,2.3129373877500465
700,1.205979942586586
710,1.7469706372276839
720,2.2232871188858905
730,1.9208706495862147
740,0.9417975689108001
750,1.4633428387452856
760,1.187658156053123
770,1.1959458115339474
780,1.4042621684264744
790,1.8050358328122746
800,1.1550541957056712
810,1.2698926146728602
820,1.3474126219587501
830,1.4204411764705882
840,1.5606423161350287
850,1.414196932140676
860,1.270795450493814
870,1.2127491021759031
880,1.4549373636963028
890,1.1210230922676403
900,1.0160300301267904
910,1.1426239165193974
920,0.9273045525659495
930,1.0340774655461151
940,1.113282155048578
950,1.0804389549281823
960,1.3590363687098874
970,1.6116604675073332
980,1.5151452527161078
990,1.5538116273454257
1000,1.3169799828345192
1010,1.2665539937068029
1020,1.4642703490389286
1030,1.267810981284252
1040,1.391751465732192
1050,1.693237485949014
1060,2.1203679549667056
1070,1.5028590831918507
1080,1.4713590813641317
1090,1.5582580231978937
1100,2.5684871116643326
1110,3.005332594618927
1120,2.1710803423399203
1130,2.1347672898789565
1140,1.7591303338844893
1150,1.7862525929352773
1160,1.9235818388265853
1170,1.91655797727737
1180,2.1485794707619976
1190,2.541826117694069
1200,1.9385449818458917
1210,1.8620979888367148
1220,1.89777246834982
1230,1.837647160044166
1240,1.6233396699318312
1250,2.0558123906519747
1260,1.7367603161648797
1270,1.7863734464538215
1280,2.1874350355701346
1290,2.0414834840352234
1300,2.386275638342403
1310,2.2324166902914873
1320,1.9314027080864369
1330,1.9282732590111484
1340,1.9789330417384021
1350,1.68463959270915
1360,2.1011409154327376
1370,2.1923612358541407
1380,1.9730717892171088
1390,2.0602375731422744
1400,2.4029009323610304
1410,2.2737191384061637
1420,1.9855216338914234
1430,1.937420365535248
1440,1.677470995931897
1450,2.1792470120674854
1460,2.237534206513338
1470,1.9698187701606749
1480,2.1573119748333953
1490,2.037702731166187
1500,2.25413179654222
1510,2.3019400187441423
1520,1.7874186550976139
1530,2.024140664408734
1540,2.3854438992944886
1550,2.085141400746739
1560,2.252779884327574
1570,2.4316849597060806
1580,2.8014373939109394
1590,1.870805892818128
1600,2.0956518093001804
1610,2.8792165874366304
1620,2.49942248123064
1630,2.555754590237349
1640,1.964706416739848
1650,2.268904213637355
1660,1.9753128170443017
1670,1.8709400528111384
1680,2.386572756592677
1690,2.248206098074585
1700,2.1443883984867593
1710,2.166018976839179
1720,2.2461687842476064
1730,1.881695637982402
1740,2.674021925676859
1750,2.7524791864073315
1760,2.6700750595532385
1770,1.9123729303684371
1780,1.907382108353125
1790,1.7072833899655069
1800,1.9365419493084286
1810,2.016858378317271
1820,2.011015540396063
1830,2.1855414854107735
1840,1.632677806630898
1850,1.446115187253564
1860,1.7401805236306553
1870,2.0744104234527687
1880,1.8672490601019724
1890,1.7656113134479738
1900,1.537718953189717
1910,1.426182694451428
1920,1.7506791200915512
1930,1.7771006956295106
1940,1.5667242385075548
1950,1.611589400387685
1960,1.8012082853855005
1970,1.7054498269896194
1980,1.8338554274051924
1990,1.7965740192739332
2000,1.4852678392161587
2010,1.909912005491856
2020,1.73694584078839
