N,valeurabsolue||A||N-||A||N+100
100,1.1826960977574283
200,0.09157088967445226
300,0.047752949485472485
400,0.03158649477051334
500,0.023290073996954153
600,0.018289964829112826
700,0.014969259396649726
800,0.012614779531897824
900,0.01086466270422548
1000,0.009516444358162346
1100,0.008448324818461028
