N,Norme,iterations,durree
0,0.0,1,0.00010442733764648438
10,1.7519196702649993,9,0.0005815029144287109
20,1.9071347204053581,10,0.00015735626220703125
30,1.986492568607964,11,0.0001633167266845703
40,2.038366835311982,11,0.00021266937255859375
50,2.0762966831280014,12,0.0001838207244873047
60,2.1058918359716094,12,0.00019216537475585938
70,2.129987510896388,12,0.00020051002502441406
80,2.1502045773150673,13,0.0002295970916748047
90,2.1675515519372897,13,0.00023436546325683594
100,2.1826960977506933,13,0.0002703666687011719
110,2.196101728192837,13,0.00040435791015625
120,2.2081025574016167,14,0.0003879070281982422
130,2.218946887950508,14,0.0006740093231201172
140,2.228823974794328,14,0.0007674694061279297
150,2.2378811714978717,14,0.0005891323089599609
160,2.2462353126360872,14,0.0005016326904296875
170,2.253980501751866,14,0.0005443096160888672
180,2.2611935805713417,15,0.0005733966827392578
190,2.2679380576425188,15,0.0006656646728515625
200,2.274266987424256,15,0.00070953369140625
210,2.2802251174085173,15,0.0006785392761230469
220,2.285850514937592,15,0.0006756782531738281
230,2.2911758172738375,15,0.00072479248046875
240,2.296229204465052,15,0.0008900165557861328
250,2.3010351653421037,15,0.0009398460388183594
260,2.3056151069554582,15,0.0009846687316894531
270,2.3099878441753505,15,0.0012583732604980469
280,2.314169996577558,16,0.0009884834289550781
290,2.31817631265208,16,0.0013079643249511719
300,2.3220199369099452,16,0.0011110305786132812
310,2.325712631229705,16,0.0011243820190429688
320,2.329264959627995,16,0.0021677017211914062
330,2.3326864434237216,16,0.0030231475830078125
340,2.3359856922569096,16,0.0018298625946044922
350,2.339170515314852,16,0.0018367767333984375
360,2.342248016242363,16,0.0018138885498046875
370,2.34522467450906,16,0.002809286117553711
380,2.3481064154633744,16,0.001374959945678711
390,2.350898670901346,16,0.0014200210571289062
400,2.3536064316648497,16,0.0014424324035644531
410,2.3562342934528706,16,0.0016963481903076172
420,2.3587864969022596,16,0.0019373893737792969
430,2.3612669627523806,17,0.0019450187683105469
440,2.3636793227339417,17,0.0018222332000732422
450,2.3660269469919433,17,0.002260446548461914
460,2.3683129682122757,17,0.0017290115356445312
470,2.370540303127531,17,0.0019567012786865234
480,2.3727116716474326,17,0.001941680908203125
490,2.37482961393172,17,0.0021283626556396484
500,2.3768965056748725,17,0.002405405044555664
510,2.378914571783101,17,0.0023844242095947266
520,2.3808858987341166,17,0.003072977066040039
530,2.382812445638045,17,0.002905607223510742
540,2.384696054253075,17,0.0030336380004882812
550,2.386538458074197,17,0.0038292407989501953
560,2.3883412904962222,17,0.004300594329833984
570,2.390106092303456,17,0.003933429718017578
580,2.3918343184124264,17,0.004239797592163086
590,2.393527344072302,17,0.006299018859863281
600,2.3951864704884147,17,0.008327960968017578
610,2.3968129299670675,17,0.00635075569152832
620,2.39840789062459,17,0.008585929870605469
630,2.3999724607093365,17,0.00802159309387207
640,2.401507692598219,18,0.00714111328125
650,2.403014586337651,18,0.00693202018737793
660,2.4044940931178775,17,0.006287336349487305
670,2.405947118385331,18,0.007283926010131836
680,2.4073745245017397,18,0.0075893402099609375
690,2.408777133596227,18,0.008904218673706055
700,2.4101557299001213,18,0.007712364196777344
710,2.411511062016614,18,0.012752294540405273
720,2.4128438450351,18,0.0170900821685791
730,2.414154762453476,18,0.012119293212890625
740,2.4154444680020886,18,0.011249780654907227
750,2.41671358731152,18,0.011378288269042969
760,2.4179627194918414,18,0.016225337982177734
770,2.419192438576604,18,0.014333486557006836
780,2.4204032948787546,18,0.015600442886352539
790,2.421595816291094,18,0.017894983291625977
800,2.4227705094254652,18,0.014659643173217773
810,2.4239278607700263,18,0.016098976135253906
820,2.425068337690483,18,0.015606880187988281
830,2.426192389439983,18,0.016120195388793945
840,2.4273004480255302,18,0.018815279006958008
850,2.4283929291196675,18,0.018771648406982422
860,2.4294702328095688,18,0.01699542999267578
870,2.4305327443980005,18,0.01642441749572754
880,2.431580835091968,18,0.02051854133605957
890,2.4326148626705915,18,0.015810251235961914
900,2.4336351721162357,18,0.01503610610961914
910,2.434642096239358,18,0.016185998916625977
920,2.4356359561816316,18,0.014272689819335938
930,2.436617061994909,18,0.016046762466430664
940,2.437585713110197,18,0.017184019088745117
950,2.4385421988545897,19,0.01664280891418457
960,2.4394867987618025,18,0.020901203155517578
970,2.440419783255036,19,0.02541351318359375
980,2.4413414137357945,19,0.024471759796142578
990,2.4422519432033845,19,0.026081323623657227
1000,2.443151616494342,19,0.02268218994140625
1010,2.4440406706581026,19,0.021976470947265625
1020,2.4449193352729566,19,0.025155067443847656
1030,2.4457878327474614,19,0.023386001586914062
1040,2.4466463786252985,19,0.024619340896606445
1050,2.4474951818450617,19,0.029090166091918945
1060,2.4483344450160347,19,0.03682065010070801
1070,2.4491643646626127,19,0.026380538940429688
1080,2.4499851314547296,19,0.02639484405517578
1090,2.4507969304531967,19,0.02610468864440918
1100,2.451599941309886,19,0.03542160987854004
1110,2.452394338469828,19,0.04138517379760742
1120,2.4531802913896796,19,0.03465557098388672
1130,2.4539579646945127,19,0.035825252532958984
1140,2.4547275183796717,19,0.028916597366333008
1150,2.4554891079760064,19,0.028537511825561523
1160,2.456242884691366,19,0.029484987258911133
1170,2.4569889956087403,19,0.02907848358154297
1180,2.4577275837808816,19,0.03312230110168457
1190,2.458458788424606,19,0.03943181037902832
1200,2.4591827450226984,19,0.03093266487121582
1210,2.459899585453134,19,0.03006577491760254
1220,2.4606094381447647,19,0.03105759620666504
1230,2.461312428161031,19,0.030553817749023438
1240,2.4620086773247447,19,0.031964778900146484
1250,2.4626983043403854,19,0.042302846908569336
1260,2.463381424890395,19,0.03703784942626953
