N,Norme,durree
0,1,0.00010442733764648438
10,1.7519196702651774,0.0005815029144287109
20,1.9071347204072544,0.00015735626220703125
30,1.9864925686087398,0.0001633167266845703
40,2.0383668353150224,0.00021266937255859375
50,2.076296683131165,0.0001838207244873047
60,2.105891835979768,0.00019216537475585938
70,2.1299875109073305,0.00020051002502441406
80,2.1502045773192355,0.0002295970916748047
90,2.1675515519450204,0.00023436546325683594
100,2.1826960977574283,0.0002703666687011719
110,2.1961017282079567,0.00040435791015625
120,2.20810255740482,0.0003879070281982422
130,2.218946887955687,0.0006740093231201172
140,2.228823974801313,0.0007674694061279297
150,2.23788117150694,0.0005891323089599609
160,2.2462353126453323,0.0005016326904296875
170,2.25398050177101,0.0005443096160888672
180,2.261193580575599,0.0005733966827392578
190,2.267938057648095,0.0006656646728515625
200,2.2742669874318806,0.00070953369140625
210,2.2802251174170536,0.0006785392761230469
220,2.285850514947331,0.0006756782531738281
230,2.2911758172816117,0.00072479248046875
240,2.2962292044774246,0.0008900165557861328
250,2.30103516536025,0.0009398460388183594
260,2.3056151069741695,0.0009846687316894531
270,2.309987844196941,0.0012583732604980469
280,2.3141699965838622,0.0009884834289550781
290,2.3181763126573074,0.0013079643249511719
300,2.322019936917353,0.0011110305786132812
310,2.3257126312371055,0.0011243820190429688
320,2.329264959636844,0.0021677017211914062
330,2.3326864434351204,0.0030231475830078125
340,2.3359856922688618,0.0018298625946044922
350,2.3391705153266322,0.0018367767333984375
360,2.3422480162565495,0.0018138885498046875
370,2.3452246745269214,0.002809286117553711
380,2.348106415483015,0.001374959945678711
390,2.350898670923625,0.0014200210571289062
400,2.3536064316878664,0.0014424324035644531
410,2.356234293477417,0.0016963481903076172
420,2.3587864969265118,0.0019373893737792969
430,2.361266962760207,0.0019450187683105469
440,2.363679322742236,0.0018222332000732422
450,2.3660269469998725,0.002260446548461914
460,2.3683129682204607,0.0017290115356445312
470,2.370540303137264,0.0019567012786865234
480,2.3727116716591152,0.001941680908203125
490,2.374829613945502,0.0021283626556396484
500,2.3768965056848206,0.002405405044555664
510,2.37891457179684,0.0023844242095947266
520,2.3808858987491925,0.003072977066040039
530,2.3828124456520836,0.002905607223510742
540,2.384696054272773,0.0030336380004882812
550,2.3865384580930598,0.0038292407989501953
560,2.3883412905167516,0.004300594329833984
570,2.3901060923206563,0.003933429718017578
580,2.3918343184306137,0.004239797592163086
590,2.3935273440943323,0.006299018859863281
600,2.3951864705139334,0.008327960968017578
610,2.396812929993696,0.00635075569152832
620,2.3984078906518143,0.008585929870605469
630,2.399972460739681,0.00802159309387207
640,2.401507692606871,0.00714111328125
650,2.4030145863460564,0.00693202018737793
660,2.4044940931481755,0.006287336349487305
670,2.405947118394851,0.007283926010131836
680,2.4073745245122273,0.0075893402099609375
690,2.4087771336079586,0.008904218673706055
700,2.410155729910583,0.007712364196777344
710,2.411511062028752,0.012752294540405273
720,2.41284384504592,0.0170900821685791
730,2.4141547624646855,0.012119293212890625
740,2.415444468013278,0.011249780654907227
750,2.416713587325913,0.011378288269042969
760,2.417962719507246,0.016225337982177734
770,2.4191924385902928,0.014333486557006836
780,2.4204032948965217,0.015600442886352539
790,2.4215958163056848,0.017894983291625977
800,2.422770509442481,0.014659643173217773
810,2.4239278607865407,0.016098976135253906
820,2.425068337711455,0.015606880187988281
830,2.426192389458291,0.016120195388793945
840,2.427300448048376,0.018815279006958008
850,2.428392929139889,0.018771648406982422
860,2.4294702328322706,0.01699542999267578
870,2.4305327444222673,0.01642441749572754
880,2.4315808351149304,0.02051854133605957
890,2.4326148626929096,0.015810251235961914
900,2.4336351721467064,0.01503610610961914
910,2.434642096268733,0.016185998916625977
920,2.435635956213628,0.014272689819335938
930,2.4366170620269507,0.016046762466430664
940,2.4375857131444993,0.017184019088745117
950,2.438542198864142,0.01664280891418457
960,2.439486798791898,0.020901203155517578
970,2.4404197832640016,0.02541351318359375
980,2.4413414137463656,0.024471759796142578
990,2.4422519432130616,0.026081323623657227
1000,2.443151616504869,0.02268218994140625
1010,2.4440406706693625,0.021976470947265625
1020,2.4449193352835046,0.025155067443847656
1030,2.445787832759885,0.023386001586914062
1040,2.446646378637542,0.024619340896606445
1050,2.447495181858352,0.029090166091918945
1060,2.4483344450297215,0.03682065010070801
1070,2.4491643646744894,0.026380538940429688
1080,2.4499851314686985,0.02639484405517578
1090,2.450796930468013,0.02610468864440918
1100,2.45159994132333,0.03542160987854004
1110,2.4523943384862683,0.04138517379760742
1120,2.453180291405058,0.03465557098388672
1130,2.4539579647113365,0.035825252532958984
1140,2.4547275183984576,0.028916597366333008
1150,2.4554891079916397,0.028537511825561523
1160,2.456242884710465,0.029484987258911133
1170,2.456988995624111,0.02907848358154297
1180,2.4577275837997252,0.03312230110168457
1190,2.4584587884443128,0.03943181037902832
1200,2.4591827450403505,0.03093266487121582
1210,2.459899585475662,0.03006577491760254
1220,2.4606094381676686,0.03105759620666504
1230,2.4613124281823495,0.030553817749023438
1240,2.462008677348245,0.031964778900146484
1250,2.4626983043656825,0.042302846908569336
1260,2.463381424911402,0.03703784942626953
1270,2.4640581517389846,0.03433728218078613
1280,2.46472859477513,0.03863406181335449
1290,2.4653928612120235,0.03708815574645996
1300,2.4660510555960333,0.04349374771118164
1310,2.466703279912859,0.04130363464355469
1320,2.4673496336692455,0.03652453422546387
1330,2.467990213971636,0.03678441047668457
1340,2.468625115601604,0.04055905342102051
1350,2.469254431088461,0.03739476203918457
1360,2.4698782507790655,0.04452252388000488
1370,2.4704966629049316,0.04655790328979492
